"loc"	"lambda"	"rho"
27	0.493095590201745	0.591698285960297
28	0.539337106931341	0.554651888798486
29	0.469021009613694	0.498261875247549
30	0.500511944116344	0.520896705876084
31	1.42021921963013	1.55082126468075
32	1.35373678834598	1.49113204521901
33	1.46746070701974	1.53021454566148
34	1.1953318369154	1.31810730711932
35	0.810531444776212	0.919490582659129
36	0.593834913248489	0.660201874051024
37	0.6730764739657	0.620988526560184
38	0.574770880155365	0.528267786430083
39	0.566099629478403	0.514396451346326
40	0.626330672594616	0.549662888871854
41	1.64146083953103	1.53431176605616
42	1.68564481582155	1.52242850197567
43	1.44280235815433	1.36697202544175
44	1.43397409143927	1.28470130577718
45	1.06628365450996	0.971454810435584
46	0.78415499734671	0.682358117533173
47	0.760151110531058	0.565368670308983
48	0.770575784674607	0.564315888488967
49	0.65394127990746	0.48432576423018
50	0.715879254435002	0.509489106677476
51	1.73348618595419	1.41884400142714
52	1.88657174084333	1.46939561153919
53	1.81585899629594	1.40691890345893
54	1.46266638127569	1.24675106141386
55	1.00359507190551	0.880485259792363
56	0.872892499715492	0.674521443164365
57	1.11903438181809	0.665853175703971
58	0.835819651289995	0.528906403950237
59	0.781142569739026	0.483976755633781
60	0.744646556098986	0.472889675771602
61	2.75253456688289	1.51197808199335
62	2.86280875127154	1.52938991477111
63	2.02708435041421	1.39973302964777
64	1.8559298444954	1.25528113485833
65	1.23589017502087	0.90437901641643
66	1.06458378426369	0.728613918450776
67	0.922527962719398	0.566182348451886
68	0.901223741941804	0.494975841961048
69	0.867731251109243	0.484922043085512
70	0.950968978523443	0.509233080581403
71	9.86109161890315	1.63208943748696
72	9.80074683816642	1.57151294207525
73	3.42134903151286	1.50905823797698
74	1.90907890949904	1.18670908913913
75	1.52741608144057	0.931622966227612
76	1.26029380066496	0.709909821573116
77	1.16254473557041	0.601154757234539
78	1.169131959579	0.537043732950641
79	1.21549810712499	0.535999680625607
80	1.18051356365985	0.518172748848906
81	8.2094184811621	1.61459102975654
82	4.67608657018014	1.53820817275005
83	9.30023612291897	1.53347314928305
84	2.77893834858418	1.24702208654377
85	1.96861208413374	0.974373565206776
86	1.2546782666949	0.639530237096441
87	1.30322102303197	0.577882254502986
88	1.25845134078718	0.5260592734146
89	1.2853170313205	0.493062306688999
90	1.40774361138488	0.524398748968141
91	9.69570590651523	1.57684731244917
92	8.2631893739603	1.55052060763978
93	9.59560872216855	1.49720001089738
94	10.1827383605468	1.35889126666668
95	2.00221520803859	0.939906847131627
96	1.63739571309844	0.732950125334973
97	1.46255433973112	0.579179011843328
