"lon"	"lat"	"sd_chi_u95_h20"	"sd_chi_u95_h40"	"sd_chi_u95_h80"	"sd_chi_u95_h160"	"sd_chi_u98_h20"	"sd_chi_u98_h40"	"sd_chi_u98_h80"	"sd_chi_u98_h160"
-90.50323	29.803898	NA	NA	NA	NA	NA	NA	NA	NA
-89.889818	29.76273	0.005577572375399	0.00755458261485305	0.00963994239802981	0.0111043716380381	0.00735754942779929	0.00974786417591609	0.0119724759682459	0.0128916895970331
-82.654185	29.058916	0.0123795572875421	0.016330326183161	0.0202757429388815	0.0231780427510537	0.0158518395618513	0.0208193156182763	0.0256313053274385	0.0286336569305717
-82.063952	28.983664	0.0146149910130149	0.0190087856779378	0.0229114470599025	0.0246549859069499	0.0180740220617945	0.0232679082702492	0.0276247546479169	0.0292560195750334
-81.476005	28.906013	0.0186827769870115	0.0229244425560304	0.0244190886506854	0.0197462941156547	0.0209544476277539	0.0246399304185187	0.0241730319049517	0.0168872325410563
-80.890407	28.826	0.00387453992418683	0.00492051107811101	0.00560339947376498	0.00514117380507352	0.00438002443679383	0.0053897504171135	0.00577353762384184	0.00473743147796896
-104.8029	30.490716	0.0136294540073167	0.017784118237909	0.0212725426740431	0.0219099730942348	0.0171434496348425	0.0217211534148332	0.0246568835424298	0.0232970930927231
-104.1805	30.517019	0.0121911402284503	0.0158651776737197	0.0189508497602551	0.0194438455835186	0.014923494578789	0.0189400400042707	0.0216250054129876	0.0206372548803323
-103.557326	30.540363	0.018635295697386	0.0250834136823978	0.032250605986604	0.0383136209879266	0.0260467271651963	0.0344744513408406	0.0429779578538155	0.0485469697360872
-102.93347	30.560736	0.0144531877774284	0.018187076640611	0.0233097644479097	0.0330883549005306	0.0192345378583563	0.025816897233669	0.0344202296707605	0.0451962751863838
-102.309023	30.578129	0.0146229050241553	0.0186877054880722	0.0240653206361883	0.0335472030902467	0.0198566866747378	0.0266970121435935	0.0354129283182207	0.0459745255301078
