"LocID"	"lon"	"lat"	"param1"	"param2"
113	-92.314124	30.448277	2.66547856496738	162.441265002359
114	-91.693975	30.414873	2.51809761506559	144.830829223976
115	-91.074908	30.378564	1.01827862928481	32.3667646472293
116	-90.457012	30.33937	2.48319802545228	159.107111018024
117	-89.840373	30.297311	3.27106523899999	233.620933221461
118	-84.962592	29.860588	6.44757555303251	352.951998674761
119	-83.164019	29.652733	5.50327525161686	239.561410398044
120	-82.568799	29.57836	3.13586132363898	223.638309763355
121	-81.975846	29.501503	2.80884285784822	240.712308610782
122	-81.385227	29.422198	3.7507500116194	262.590134177197
124	-104.83541	31.02933	0.98149993206173	15.2701288985165
125	-104.209564	31.056198	2.84385701682822	182.265952474262
126	-103.582926	31.080045	1.55329971065851	118.644484648752
127	-102.955589	31.100857	1.46829749805073	104.152410094015
