"coopID"	"long"	"lat"	"elev"
117551	-90.5608	40.1158	201.2
118147	-89.7167	38.1167	163.1
118740	-88.2403	40.0839	219.8
118916	-89.5989	41.5519	210.3
119241	-90.3789	39.4411	176.8
119354	-88.5986	39.4381	210.3
120177	-85.7175	40.1122	257.6
120200	-84.9897	41.6397	307.8
120676	-84.9305	40.6683	265.2
120784	-86.5214	39.1742	253
121030	-85.0128	39.4239	192
121229	-85.1833	39.8667	304.8
121425	-85.7	38.4833	167.6
121747	-85.9211	39.1978	189.3
121873	-86.8011	40.0028	256
122149	-86.6661	40.615	169.5
123418	-85.8825	41.5575	266.7
123513	-86.8767	39.6439	224
123527	-85.7611	39.7858	263.7
124008	-87.2881	41.5422	195.1
124181	-85.4981	40.8556	221
124837	-86.7297	41.6117	257.6
125237	-85.3942	38.7369	140.2
125337	-85.6586	40.58	240.8
126001	-87.8956	37.9286	108.8
126580	-86.5519	38.8894	198.1
126705	-86.4858	38.5556	170.7
127125	-87.5906	38.3567	146.3
127298	-87.1564	40.9356	198.1
127482	-86.2094	41.0658	234.7
127522	-87.2269	39.7594	211.2
127646	-85.4528	39.6042	292.6
127755	-86.0889	38.6111	243.8
127875	-85.785	38.6886	173.7
127935	-85.9822	38.9822	173.7
128036	-86.7944	38.5528	154.2
129080	-85.0761	38.7436	150.9
129113	-87.4878	38.7386	137.2
129253	-87.1989	38.6489	152.4
129511	-87.0578	41.1947	202.7
129557	-86.3542	39.9961	289
129670	-86.5867	41.0267	210.3
130112	-92.7867	41.0656	268.2
130133	-94.3053	43.0683	377.6
130600	-92.2764	41.8814	246.9
131402	-92.6714	43.0775	309.1
131533	-95.0192	40.7244	298.7
131635	-90.2639	41.7947	178.3
132724	-94.8219	43.43	396.8
132789	-91.9553	41.0211	225.6
132864	-91.8158	42.8503	344.4
132977	-93.6306	43.2844	396.2
132999	-94.2006	42.5836	347.5
134063	-93.6481	41.3656	287.1
134142	-93.2536	42.5189	344.4
134735	-96.1458	42.7817	364.2
134894	-95.7883	41.6381	301.8
135769	-94.2428	40.7053	359.7
135796	-91.5647	40.9486	222.5
135952	-92.3122	43.0453	349.9
137147	-96.1686	43.43	411.5
137161	-94.6292	42.3969	364.2
137979	-95.1694	42.6347	434.3
138296	-92.5806	42.0356	289.3
138688	-91.7067	41.2828	210.3
140264	-98.0283	37.155	408.4
140365	-99.7633	37.1942	600.5
140405	-95.1108	39.5756	288
141704	-99.3272	37.2706	634.9
141740	-94.8397	37.1764	275.8
141867	-96.5097	38.6758	402.3
142401	-96.8444	37.8183	393.2
142459	-98.2267	38.7278	466.3
142835	-94.7086	37.8428	257.6
143527	-99.3358	38.8586	612.6
143810	-95.5225	39.6703	313.9
143954	-95.7003	37.2364	245.4
144087	-99.9181	38.1964	740.7
144464	-101.2492	37.9411	913.8
144530	-99.0994	38.1817	608.1
144559	-95.2514	38.9583	306.3
144588	-94.9189	39.3256	265.2
144695	-100.9294	37.0222	863.8
