"id"	"long"	"lat"
349	-83.944454	32.410149
350	-83.329518	32.333359
351	-82.716961	32.25375
352	-82.106859	32.171362
353	-81.499287	32.086235
354	-116.955938	32.550703
355	-116.346763	32.63913
356	-115.734956	32.724792
357	-115.120593	32.807646
358	-114.50375	32.887651
359	-113.884505	32.964765
360	-113.262939	33.038949
361	-112.639136	33.110166
362	-112.013179	33.178377
363	-111.385156	33.243548
364	-110.755156	33.305644
365	-110.123269	33.364632
366	-109.489587	33.420481
367	-108.854206	33.473161
368	-108.21722	33.522644
369	-107.578727	33.568902
370	-106.938825	33.611912
371	-106.297616	33.651649
372	-105.6552	33.688091
373	-105.011681	33.721219
374	-104.367162	33.751015
375	-103.721748	33.777461
376	-103.075545	33.800543
377	-102.42866	33.820249
378	-101.7812	33.836567
379	-101.133272	33.849488
380	-100.484986	33.859005
381	-99.83645	33.865113
382	-99.187773	33.867809
383	-98.539065	33.86709
384	-97.890434	33.862957
385	-97.24199	33.855413
386	-96.593842	33.844461
387	-95.946098	33.830109
388	-95.298866	33.812363
389	-94.652255	33.791234
390	-94.006372	33.766734
391	-93.361322	33.738875
392	-92.717211	33.707675
393	-92.074144	33.673149
394	-91.432224	33.635316
395	-90.791553	33.594199
396	-90.152233	33.549818
397	-89.514362	33.502198
398	-88.87804	33.451366
399	-88.243363	33.397348
400	-87.610425	33.340173
401	-86.979322	33.279873
402	-86.350143	33.216478
403	-85.72298	33.150022
404	-85.097919	33.080541
405	-84.475048	33.00807
406	-83.854449	32.932648
407	-83.236206	32.854312
408	-82.620397	32.773102
409	-82.007102	32.68906
410	-81.396394	32.602229
411	-80.788348	32.51265
412	-117.063322	33.065335
413	-116.450974	33.155516
414	-115.835933	33.24288
415	-115.218275	33.327383
416	-114.598078	33.408983
417	-113.975422	33.487638
418	-113.350389	33.563307
419	-112.723065	33.635951
420	-112.093534	33.705532
421	-111.461887	33.772013
422	-110.828214	33.83536
423	-110.192607	33.895537
424	-109.555161	33.952514
425	-108.915972	34.006259
426	-108.275139	34.056744
427	-107.63276	34.10394
428	-106.988937	34.147822
429	-106.343773	34.188366
430	-105.697372	34.225549
431	-105.049839	34.259351
432	-104.40128	34.289753
433	-103.751804	34.316738
434	-103.101518	34.340291
435	-102.450532	34.360398
436	-101.798956	34.377049
